Fichero actualizado a fecha: 2021-02-01 06:09:57
"Título";"Descripción";"Tag";"FechaCreacion";"FechaUltimaActualizacion";"Frecuencia de actualización";"Sector";"Organismo responsable";"AmbitoGeografico";"Licencia";"Formatos disponibles para descarga";"EnlaceMasInformacion";Identificador;ultimaActualizacion;Enlace al contenido;
"Calificaciones de Zonas de Agua de Baño";"<p>Resumen de las calificaciones obtenidas en cada Zona de Agua de Baño en Castilla y León durante la temporada de baño del año correspondiente (del 15 de junio al 15 de septiembre de cada anualidad).<br />
<br />
La valoración de la aptitud de las aguas de baño se realiza a tenor de lo establecido en el Decreto 80/2008, de 27 noviembre, sobre la gestión sanitaria de la calidad de las aguas de año de la Comunidad de Castilla y León y la Orden SAN/2207/2008, de 22 diciembre por la que se desarrolla parcialmente el Decreto 80/2008.</p>
<p>Nota aclaratoria sobre los datos:</p>
<ul>
<li><strong>A</strong>: AGUA APTA PARA EL BAÑO</li>
<li><strong>N</strong>: AGUA NO APTA PARA EL BAÑO</li>
</ul>
<p></p>";"salud pública, calificaciones, agua, baño";"20181221";;"Anual";"salud";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.saludcastillayleon.es/es/zonasdebano/zonas-aguas-bano-castilla-leon";1284840207211;20200421;"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/calificaciones-aguas-bano/1284840207211";
"Accidentalidad por carreteras";"<p>Índices de accidentalidad de la red de carreteras de titularidad de la Comunidad Autónoma.</p>
<a href='https://datosabiertos.jcyl.es/web/jcyl/binarios/582/267/%C3%8Dndices_de_accidentalidad.pdf?blobheader=application%2Fpdf%3Bcharset%3DUTF-8&amp;blobheadername2=site&amp;blobheadername3=Cache-control&amp;blobheadername4=Expires&amp;blobheadervalue2=Portal_RISP&amp;blobheadervalue3=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue4=0&amp;blobnocache=true' title='Descarga del documento tipo PDF . Abre una nueva ventana'><img src='http://www.jcyl.es/futuretense_cs/JCYL_17/img/iconos/pdf.png' alt='. Abre una nueva ventana' class='icono' /> Definiciones de los índices de accidentalidad utilizados 108 kbytes </a>";"transporte, redes de transporte, red viaria, carreteras, accidentes";"20200720";;"Anual";"transporte, urbanismo-infraestructuras";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, XLS";;1284967604431;20201027;"https://datosabiertos.jcyl.es/web/jcyl/set/es/transporte/accidentalidad-carreteras/1284967604431";
"Actas de la Comisión Delegada para Asuntos Económicos";"<p>Listado de actas de la Comisión Delegada para Asuntos Económicos, indicando para cada una de ellas la fecha de la sesión, el número de la sesión, el título y texto del acta.</p>";"administración pública, comisión delegada de asuntos económicos, actas";"20201015";;"Semanal";"sector-publico";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, XLS";"https://comunicacion.jcyl.es/web/es/consejos-gobierno/ultimos-consejos-gobierno.html";1284993329001;20201015;"https://datosabiertos.jcyl.es/web/jcyl/set/es/sector-publico/actas-comision-delegada-asuntos-economicos/1284993329001";
"Actas del Consejo de Gobierno";"<p>Listado de actas de Consejos de Gobierno, indicando para cada una de ellas la fecha de la sesión, el número de la sesión, el título y texto del acta.</p>";"actas, consejo de gobierno";"20200924";;"Semanal";"sector-publico";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, XLS";"https://comunicacion.jcyl.es/web/es/consejos-gobierno/ultimos-consejos-gobierno.html";1284971704842;20200924;"https://datosabiertos.jcyl.es/web/jcyl/set/es/sector-publico/actas-consejo-gobierno/1284971704842";
"Actividad Analítica de los Laboratorios de Control Oficial";"<p>La actividad analítica de los laboratorios de control oficial estudia el número de muestras analizadas y las determinaciones llevadas a cabo, desglosado por tipo.</p>
<p>Aclaraciones a tener en cuenta:</p>
<ul>
<li>Las columnas ""Número de muestras analizadas por tipo - PNIR"" y ""Número de determinaciones realizadas por tipo - PNIR"" hacen referencia al Plan nacional de investigación de residuos en productos de origen animal.</li>
<li>En las columnas ""Número de muestras analizadas por tipo - Otras"" y ""Número de determinaciones realizadas por tipo - Otras"" se incluyen colaborativos, controles internos, superficies de trabajo, coprocultivos, etc.</li>
</ul>";"salud pública, actividad analítica, análisis, laboratorios de control, oficial";"20181221";;"Anual";"salud";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.saludcastillayleon.es/transparencia/es/transparencia/sanidad-cifras/informes-estadisticos/ordenacion-tematica/salud-publica/actividad-analitica-laboratorios-control-oficial";1284839618761;20210112;"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/laboratorios-control-oficial/1284839618761";
"Actividad diaria del servicio 012";"<p>Se recoge información desde el año 2020 sobre llamadas atendidas, buzón, correos electrónicos, alertas enviadas, alertas SMS/Fax, total consultas, nivel de atención y TMO.</p>
<ul>
<li><strong>Llamadas</strong>: Número de llamadas recibidas y emitidas.</li>
<li><strong>Buzón</strong>: Número de consultas recogidas en el buzón de voz fuera del horario del Servicio.</li>
<li><strong>Correos</strong>: Número de consultas recibidas vía email.</li>
<li><strong>Alertas SMS/FAX</strong>: Número de consultas recibidas vía FAX y número de alertas enviadas por SMS y/o correo electrónico sobre convocatorias.</li>
<li><strong>Total Consultas</strong>: Número de consultas totales gestionadas por el Servicio 012.</li>
<li><strong>Nivel de atención</strong>: Porcentaje de llamadas atendidas.</li>
<li><strong>TMO (mm:ss)</strong>: Tiempo medio de duración de las llamadas.</li>
</ul>";"administración pública, información administrativa, 012";;;"Mensual";"sector-publico";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, XLS";"https://www.jcyl.es/web/es/administracionpublica/atencion-ciudadano/servicio-atencion-ciudadano.html";1285002951181;20201202;"https://datosabiertos.jcyl.es/web/jcyl/set/es/sector-publico/actividad-diaria-012/1285002951181";
"Actividad Inspectora en los Mataderos";"<p>La actividad inspectora en los mataderos estudia el número de animales sacrificados y por tanto, sometidos a control e inspección veterinaria, desglosados por especie.</p>
<p>Aclaraciones a tener en cuenta:</p>
<ul>
<li>Las columnas ""N animales sacrificados en los mataderos de Castilla y León por cabeza - Aves de corral"" y ""N de sacrificios en los mataderos de Castilla y León en UGM - Aves de corral"" incluyen pollos de cebo, gallinas de puesta y otras aves (palomas, patos, etc.).</li>
<li>las columnas ""N animales sacrificados en los mataderos de Castilla y León por cabeza - Ungulados - Porcina"" y ""N de sacrificios en los mataderos de Castilla y León en UGM - Ungulados - Porcina"" incluyen lechones.</li>
</ul>";"salud pública, actividad inspectora, análisis, mataderos";"20181221";;"Anual";"salud";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.saludcastillayleon.es/transparencia/es/transparencia/sanidad-cifras/informes-estadisticos/ordenacion-tematica/salud-publica/actividad-inspectora-mataderos";1284839730829;20210112;"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/actividad-inspectora-mataderos/1284839730829";
"Actividad mensual del servicio 012";"<p>Se recoge información desde el año 2013 sobre llamadas atendidas, buzón, correos electrónicos, alertas enviadas, alertas SMS/Fax, total consultas, nivel de atención y TMO.</p>
<ul>
<li><strong>Llamadas</strong>: Número de llamadas recibidas y emitidas.</li>
<li><strong>Buzón</strong>: Número de consultas recogidas en el buzón de voz fuera del horario del Servicio.</li>
<li><strong>Correos</strong>: Número de consultas recibidas vía email.</li>
<li><strong>Alertas SMS/FAX</strong>: Número de consultas recibidas vía FAX y número de alertas enviadas por SMS y/o correo electrónico sobre convocatorias.</li>
<li><strong>Total Consultas</strong>: Número de consultas totales gestionadas por el Servicio 012.</li>
<li><strong>Nivel de atención</strong>: Porcentaje de llamadas atendidas.</li>
<li><strong>TMO (mm:ss)</strong>: Tiempo medio de duración de las llamadas.</li>
</ul>";"administración pública, información administrativa, 012";;;"Mensual";"sector-publico";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, XLS";"https://www.jcyl.es/web/es/administracionpublica/atencion-ciudadano/servicio-atencion-ciudadano.html";1284996807778;20201202;"https://datosabiertos.jcyl.es/web/jcyl/set/es/sector-publico/actividad-mensual-012/1284996807778";
"Censo de actividades turísticas complementarias";"<p>Relación de actividades turísticas complementarias de Castilla y León</p>";"Turismo, actividades turísticas, complementarias";"20180104";;"Diaria de lunes a viernes";"turismo";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"http://www.turismocastillayleon.com";1284774596837;20201117;"https://datosabiertos.jcyl.es/web/jcyl/set/es/turismo/actividades-turisticas-complementarias/1284774596837";
"Actuaciones del Pacto para la Recuperación Económica, el Empleo y la Cohesión Social";"<p>Actuaciones asociadas a cada uno de las 86 medidas del Pacto para la Recuperación Económica, el Empleo y la Cohesión Social.</p>
<p>En cada actuación se indica a qué compromiso pertenece, su descripción y los enlaces o documentos que completen dicha información.</p>";"administración pública, COVID-19, actuaciones, pacto recuperación económica";"20200925";;"Puntual";"economia, empleo, sociedad-bienestar";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, XLS";"https://gobiernoabierto.jcyl.es/web/es/transparencia/pacto-para-recuperacion-economica.html";1284987512992;20200928;"https://datosabiertos.jcyl.es/web/jcyl/set/es/economia/actuaciones-pacto-recuperacion/1284987512992";
