fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
2021-01-20;Ávila;9794;184;1240;260;5019;40.616092,-4.929031
2021-01-20;Burgos;26787;209;3039;594;9059;42.383333,-3.666667
2021-01-20;León;27412;558;3692;899;24089;42.666667,-6.0
2021-01-20;Valladolid;38615;725;5005;868;47186;41.583333,-4.666667
2021-01-20;Soria;6679;69;791;186;42173;41.666667,-2.666667
2021-01-20;Palencia;12548;262;1371;315;34120;42.432128,-4.520647
2021-01-20;Salamanca;22932;516;2834;654;37274;40.833333,-6.0
2021-01-20;Segovia;11882;267;1290;280;40004;41.166667,-4.0
2021-01-20;Zamora;10343;191;1471;355;49275;41.75,-6.0
2021-01-19;Ávila;9610;180;1234;259;5019;40.616092,-4.929031
2021-01-19;Burgos;26578;218;3021;592;9059;42.383333,-3.666667
2021-01-19;Zamora;10152;108;1464;355;49275;41.75,-6.0
2021-01-19;Segovia;11615;229;1277;279;40004;41.166667,-4.0
2021-01-19;Soria;6610;52;789;185;42173;41.666667,-2.666667
2021-01-19;Valladolid;37890;685;4980;861;47186;41.583333,-4.666667
2021-01-19;León;26854;348;3677;896;24089;42.666667,-6.0
2021-01-19;Palencia;12286;240;1364;315;34120;42.432128,-4.520647
2021-01-19;Salamanca;22416;239;2824;653;37274;40.833333,-6.0
2021-01-18;Ávila;9430;103;1230;258;5019;40.616092,-4.929031
2021-01-18;Palencia;12046;196;1345;311;34120;42.432128,-4.520647
2021-01-18;Salamanca;22177;263;2810;650;37274;40.833333,-6.0
2021-01-18;Soria;6558;66;783;185;42173;41.666667,-2.666667
2021-01-18;Valladolid;37205;366;4951;855;47186;41.583333,-4.666667
2021-01-18;Zamora;10044;37;1462;354;49275;41.75,-6.0
2021-01-18;Burgos;26360;87;3011;592;9059;42.383333,-3.666667
2021-01-18;León;26506;221;3666;891;24089;42.666667,-6.0
2021-01-18;Segovia;11386;261;1270;276;40004;41.166667,-4.0
2021-01-17;Ávila;9327;104;1229;257;5019;40.616092,-4.929031
2021-01-17;León;26285;423;3664;889;24089;42.666667,-6.0
2021-01-17;Palencia;11850;182;1342;308;34120;42.432128,-4.520647
2021-01-17;Salamanca;21914;246;2808;649;37274;40.833333,-6.0
2021-01-17;Soria;6492;64;782;185;42173;41.666667,-2.666667
2021-01-17;Zamora;10007;120;1459;351;49275;41.75,-6.0
2021-01-17;Burgos;26273;97;3010;592;9059;42.383333,-3.666667
2021-01-17;Valladolid;36839;347;4936;853;47186;41.583333,-4.666667
2021-01-17;Segovia;11125;219;1264;271;40004;41.166667,-4.0
2021-01-16;Burgos;26176;225;3004;589;9059;42.383333,-3.666667
2021-01-16;Salamanca;21668;431;2805;648;37274;40.833333,-6.0
2021-01-16;Soria;6428;95;780;184;42173;41.666667,-2.666667
2021-01-16;Valladolid;36492;746;4933;852;47186;41.583333,-4.666667
2021-01-16;Segovia;10906;356;1259;270;40004;41.166667,-4.0
2021-01-16;Zamora;9887;172;1458;350;49275;41.75,-6.0
2021-01-16;Ávila;9223;224;1226;255;5019;40.616092,-4.929031
2021-01-16;León;25862;418;3657;885;24089;42.666667,-6.0
2021-01-16;Palencia;11668;225;1340;306;34120;42.432128,-4.520647
2021-01-15;Burgos;25951;172;2995;586;9059;42.383333,-3.666667
2021-01-15;Zamora;9715;134;1450;348;49275;41.75,-6.0
2021-01-15;Ávila;8999;170;1222;255;5019;40.616092,-4.929031
2021-01-15;Palencia;11443;221;1329;303;34120;42.432128,-4.520647
2021-01-15;Segovia;10550;225;1248;269;40004;41.166667,-4.0
2021-01-15;Valladolid;35746;598;4894;848;47186;41.583333,-4.666667
2021-01-15;León;25444;468;3646;883;24089;42.666667,-6.0
2021-01-15;Salamanca;21237;452;2797;645;37274;40.833333,-6.0
2021-01-15;Soria;6333;43;777;183;42173;41.666667,-2.666667
2021-01-14;Ávila;8829;173;1219;254;5019;40.616092,-4.929031
2021-01-14;Burgos;25779;174;2988;586;9059;42.383333,-3.666667
2021-01-14;Valladolid;35148;622;4869;844;47186;41.583333,-4.666667
2021-01-14;Palencia;11222;178;1319;302;34120;42.432128,-4.520647
2021-01-14;León;24976;410;3634;881;24089;42.666667,-6.0
2021-01-14;Salamanca;20785;282;2793;644;37274;40.833333,-6.0
2021-01-14;Segovia;10325;229;1244;268;40004;41.166667,-4.0
2021-01-14;Soria;6290;87;774;183;42173;41.666667,-2.666667
2021-01-14;Zamora;9581;166;1449;348;49275;41.75,-6.0
2021-01-13;Ávila;8656;172;1214;251;5019;40.616092,-4.929031
2021-01-13;León;24566;400;3623;879;24089;42.666667,-6.0
2021-01-13;Salamanca;20503;354;2787;643;37274;40.833333,-6.0
2021-01-13;Soria;6203;55;771;183;42173;41.666667,-2.666667
2021-01-13;Valladolid;34526;531;4858;844;47186;41.583333,-4.666667
2021-01-13;Zamora;9415;141;1444;348;49275;41.75,-6.0
2021-01-13;Burgos;25605;153;2982;586;9059;42.383333,-3.666667
2021-01-13;Segovia;10096;200;1236;268;40004;41.166667,-4.0
2021-01-13;Palencia;11044;180;1311;298;34120;42.432128,-4.520647
2021-01-12;Ávila;8484;198;1214;251;5019;40.616092,-4.929031
2021-01-12;León;24166;193;3618;877;24089;42.666667,-6.0
2021-01-12;Salamanca;20149;192;2782;641;37274;40.833333,-6.0
2021-01-12;Segovia;9896;232;1234;268;40004;41.166667,-4.0
2021-01-12;Palencia;10864;136;1298;295;34120;42.432128,-4.520647
2021-01-12;Soria;6148;42;770;183;42173;41.666667,-2.666667
2021-01-12;Valladolid;33995;493;4844;840;47186;41.583333,-4.666667
